  W445     0.184269      1095.97
  G396     0.279552      1095.08
  G133     0.271775      1094.44
  W646     0.105793      1095.53
  G733      0.35143      1094.97
   G64     0.200356      1089.88
  G301     0.338756      1091.21
  W626     0.190418      1097.67
  G137     0.265336      1094.49
   G60     0.184539      1087.05
   W70     0.170765       1094.1
  G774     0.368072      1092.75
  W984     0.152054      1094.98
  W399      0.16423      1097.06
  G485     0.335464      1094.56
   G54      0.45609      1090.48
  W874     0.129737      1096.85
  G822      0.30066      1092.95
  G148     0.225207      1090.42
  W411     0.224025       1095.9
   G10     0.256153      1091.05
  G752     0.313666      1089.77
  W876     0.146274       1096.6
  G804     0.302594      1092.14
  W900     0.164343      1097.04
 W1125     0.141339      1093.87
  W661     0.196865      1097.69
  G134     0.311305      1094.54
  W487     0.187824      1097.39
  G243      0.21834      1092.07
   G61     0.285749      1087.83
  W442     0.162155      1095.37
   W86     0.264235      1096.05
  G170     0.266185      1094.51
  W393     0.184168      1097.51
  G299     0.241491      1091.81
  W101     0.165368      1094.08
 W1116     0.107444      1094.93
   G30     0.209186      1086.32
  G418     0.226791      1093.25
  G833     0.290059       1091.9
  W574     0.186615      1096.49
  G364     0.312344      1093.78
  W486     0.204545      1097.27
   G85     0.225731      1091.03
  W455     0.199044      1097.52
  W737     0.143907      1097.37
  G112     0.294283      1092.71
 W1092      0.14461      1094.36
   G34     0.484754      1089.16
  W678     0.164622         1096
  G357     0.194601      1093.67
  W224     0.171303      1096.82
   G38      0.19934      1091.15
  G215     0.225463      1092.95
  G120     0.413145      1088.36
  G154     0.206712       1091.7
   W85     0.203742      1096.05
  W127     0.182275      1095.81
 W1088     0.125209      1093.85
  G769     0.373573      1094.32
  W914     0.127846      1095.77
   G40     0.168828      1091.82
  W851     0.133376      1094.98
  W618     0.175776      1096.69
  W169     0.153375      1094.52
  G597     0.141879      1093.35
  G210     0.205299      1089.94
  G417      0.22148      1093.92
  W745     0.144499      1096.12
  W444     0.191145      1095.72
   W10       0.1749      1095.09
   G70     0.198284      1092.54
  W821     0.133857      1096.06
  G695     0.304423      1092.76
  G807     0.304842      1090.55
  W502     0.191177      1097.13
  W250     0.139355      1096.79
    G7     0.284933      1089.96
  W765     0.177937      1097.54
  G386     0.242053      1094.44
  G477     0.215553      1093.95
   G89     0.228214       1088.5
  W904     0.157975         1097
  W515     0.145415      1096.49
  W987     0.133484      1094.31
   G68     0.241775      1091.87
   G29     0.211181      1087.08
  W667     0.119447      1097.63
   G56     0.209184      1089.78
  G169     0.256813      1094.75
  W639     0.152855      1097.02
  W398     0.159045      1097.18
  G175     0.230628      1092.78
  W361     0.172158      1097.33
  W808      0.16387      1096.85
  W248     0.125763      1096.58
  W719     0.148442      1096.35
  G152     0.295526      1090.38
  W783     0.123779      1095.23
  W146     0.218382      1096.04
  W677     0.141135      1096.23
  G235     0.201363      1093.69
  W803     0.165139      1097.34
 W1030     0.162966      1095.85
  G330     0.192603      1091.29
 W1032     0.152379      1096.06
   G66     0.182125      1090.98
  W942     0.146855      1096.54
  G171     0.281123      1094.23
 W1104     0.137164      1095.82
   G31      0.24096      1087.12
  G130      0.29815      1093.83
  G689      0.17141      1090.95
  G103      0.19173      1093.82
  G755     0.276446      1091.76
 W1139     0.125445      1095.57
  W685     0.174901      1096.41
   G43      0.23503      1092.43
  W852     0.144326      1095.24
  G114     0.200574      1091.86
  W104     0.133378      1094.33
  G782     0.353853       1089.2
  W140     0.197121      1095.01
  W951     0.136232      1094.92
   G95     0.237085      1091.12
  G110     0.172907      1093.34
   G19      0.24442       1091.4
  W913     0.132059      1095.96
  W535      0.20154       1097.3
  G268     0.234148      1092.21
  G636     0.281156       1094.1
  G655     0.181197      1093.91
   W54     0.176835      1095.75
  G626     0.177891      1093.69
  W715     0.123862       1095.4
  W733     0.165166       1097.6
  W775     0.140437      1096.79
 W1074      0.14689      1096.02
    W6     0.247555      1094.47
  W257     0.152155      1097.02
  W582     0.159184       1096.3
   G62     0.156826      1088.56
  G244     0.288252      1092.73
   G46     0.200783      1092.55
  G605     0.230811      1093.86
  W760     0.157997       1097.3
  W384      0.16775      1097.07
  W788      0.13016      1096.37
  G302     0.293664      1091.98
  W371     0.191121      1095.93
   G86     0.234706      1090.47
  W386      0.16075      1097.29
   G18     0.254089      1091.58
 W1131     0.177139      1094.99
  W343     0.205909      1095.72
  G105     0.249226      1093.96
  W531     0.173702      1097.66
  W232     0.175062      1095.96
   G23     0.302817      1090.15
  G274     0.387271      1093.08
  G108     0.223912      1093.75
  W869     0.141946      1097.18
  W822     0.137455      1096.25
  G688     0.147554      1091.67
 W1137     0.129741      1095.52
  W107     0.175255      1095.01
  W277     0.181915      1095.91
   G20     0.285142      1091.17
  W600      0.19396      1097.61
  G129     0.338103      1093.52
  G736     0.334592      1095.18
  G180     0.209602      1089.46
 W1011     0.152766      1096.05
  W227     0.158455      1096.62
  W801     0.165303      1097.43
  W819     0.135755      1095.62
  W793     0.152417       1097.1
 W1078     0.135412      1095.73
   W44     0.167365      1095.35
  G482     0.308706      1092.56
  G770       0.3651      1094.12
  G796     0.323953         1094
  G797     0.331909      1093.96
  W158     0.204915      1096.32
  G766     0.347232      1094.61
  W556     0.250609      1097.54
  W230     0.093711      1096.27
  W628     0.227544      1097.75
  G205     0.197239      1093.26
  W857     0.140178       1096.3
  W276     0.218687       1095.7
  W185      0.18249      1096.64
 W1101      0.13792      1095.67
  W789     0.120689      1096.55
   G41     0.187068      1092.08
 W1107      0.14541      1095.81
  W495     0.150854      1097.71
  G741     0.353074      1094.42
  W828     0.148072      1097.09
   G81     0.300757      1092.38
  W328     0.133822      1097.15
  G242     0.267262      1091.35
  W606     0.161414      1096.87
   W64     0.202974      1094.52
 W1058     0.138228       1094.6
  G100     0.250377      1093.21
  G145     0.239821      1092.25
  W659     0.141923      1097.57
  W773     0.165995      1097.08
   G71     0.206049       1092.8
   G59     0.211098      1087.81
  W290     0.162035      1097.18
  G538     0.175948      1093.09
  W149     0.251596      1096.33
  G174     0.198052      1093.03
  G138     0.249036      1094.37
 W1142     0.133345      1095.52
  G692     0.358995      1090.77
  W538     0.173814      1096.85
  W279     0.160862      1096.29
   G63     0.226297      1089.25
  W267     0.187196      1095.94
   G79     0.230079       1092.9
  G149     0.169718      1089.71
 W1008     0.158645      1096.35
  G336     0.290449      1094.77
  G116     0.231468      1091.11
  W603     0.153154      1097.32
  G659     0.233258      1091.34
  W161     0.227481      1096.03
  W657     0.218353      1097.39
   G58     0.242601      1088.52
 W1079     0.136091      1095.61
  G173     0.257568      1093.48
    G4     0.406493       1088.4
  G117     0.262041       1090.5
  W383     0.162184      1096.94
  G303     0.325011       1092.7
 W1000     0.141991      1096.42
  W644     0.151428      1096.03
  G729     0.339512      1093.93
   G91     0.257796      1088.49
  G359     0.194733      1092.27
  G265     0.244678      1094.06
  W940     0.143305      1096.72
  G153     0.261525      1091.07
  G276     0.305506      1094.25
