        1288           0     1.09934    0.231158
        1290           0     1.10016    0.231295
        1291           0     1.09971    0.230978
        1292           0     1.09881    0.230894
        1293           0     1.09929    0.231097
        1295           0     1.09919    0.231096
        1296           0     1.10052    0.231249
        1301           0     1.09979    0.231488
        1302           0     1.09933    0.231281
        1303           0      1.0988    0.231389
        1304           0     1.09869    0.231181
        1307           0     1.09987    0.231223
        1288           0     1.09934    0.231158
        1290           0     1.10016    0.231295
        1291           0     1.09971    0.230978
        1292           0     1.09881    0.230894
        1293           0     1.09929    0.231097
        1295           0     1.09919    0.231096
        1296           0     1.10052    0.231249
        1301           0     1.09979    0.231488
        1302           0     1.09933    0.231281
        1303           0      1.0988    0.231389
        1304           0     1.09869    0.231181
        1307           0     1.09987    0.231223
        1308           0     1.09877    0.231219
        1309           0     1.09893    0.231181
        1310           0     1.09961    0.231345
        1311           0     1.09937    0.231671
        1313           0     1.09979    0.231565
        1314           0     1.09992    0.231169
        1315           0     1.09933    0.231134
        1316           0     1.09894    0.230822
        1319           0     1.09942    0.231115
        1320           0      1.0985    0.231361
        1322           0     1.09874    0.231078
        1323           0     1.09934    0.231134
        1325           0     1.10038    0.231358
        1328           0     1.09868     0.23113
        1331           0     1.09815    0.230933
        1332           0     1.09914    0.231129
        1334           0     1.09972    0.231415
        1336           0     1.10016    0.231612
        1337           0      1.0992    0.230978
        1338           0      1.0986    0.231515
        1340           0     1.09948    0.231538
        1341           0     1.09953    0.231115
        1345           0     1.09995     0.23129
