    REF_GAIN           0     1.09961    0.231345           3
          G1     623.077     1.77614      5599.8      141.67           0
          G2     663.634     1.63391     5079.69     146.586           0
          G3     678.762     1.79902     7664.89     185.853           0
          G4     590.584     1.54817     5893.84     151.483           0
          G5     537.803      1.3214     6081.43     180.041           0
          G6     508.443     1.52309      5385.4     151.819           0
          G7     536.532      1.5918     4310.58     130.185           0
          G8     543.371     1.54855     7871.52     170.144           0
          G9     643.703     1.50072     5683.74     121.318           0
         G10     598.705     1.59545      6293.3     131.438           0
         G11     451.986     1.66966     6618.59     149.347           0
         G12     511.493     1.75586     4773.96     132.264           0
         G13     607.555     1.74976     3686.45     120.292           0
         G14     435.129      1.6865     3437.03      97.686           0
         G15     528.677     1.60534     6523.83     123.961           0
         G16     378.397     1.52171           0           0           2
         G17     310.591     1.82854     7083.44     210.097           0
         G18     381.051     1.45756     5899.54     220.151           0
         G19     561.808     1.75778     5374.62      149.12           0
         G20     443.512     1.68503     4837.98     147.081           0
         G21     471.146      1.6005     5665.94     127.929           0
         G22     531.324     1.80224      7468.2     164.575           0
         G23     391.853     1.70948     1185.83     55.8096           0
         G24     522.786     1.51339     5886.12     144.578           0
         G25      371.24     3.09514     5912.45     151.739           0
         G26     390.412     3.27851     7108.81     159.597           0
         G27     413.665     3.81879     3813.84     141.327           0
         G28     517.592     3.04037     3141.62     124.024           0
         G29     329.999     2.46063     6989.11     226.792           0
         G30     431.047     2.97077     6329.95     151.151           0
         G31     539.643     1.44824     3843.39     149.594           0
         G32     557.208     1.51436     5727.62     130.629           0
         G33     729.617      1.4905     3879.58     88.7632           0
         G34     644.918     1.57466      1535.9     66.3551           0
         G35      705.61     1.76396     5703.22     114.983           0
         G36     624.263     1.32642     3939.32     108.239           0
         G37     490.591     1.51857     4571.81     128.935           0
         G38     347.352     1.37474     4510.44     140.825           0
         G39     468.975       1.375     5164.08     149.097           0
         G40     461.866     1.52701     7053.54     230.584           0
         G41     291.596     1.41578     6538.29     172.987           0
         G42     377.973     1.57967     4864.38     152.864           0
         G43     382.135     1.74446     5070.28     128.274           0
         G44     256.163     1.21075     1948.61     102.125           0
         G45     324.172      1.4856     3790.85     118.748           0
         G46      320.32     1.56368     5044.55     125.974           0
         G47     236.035     1.10927     4777.68     140.763           0
         G48     208.105     1.21885     8346.42     273.384           8
         G49     430.207     1.53584     3952.12     108.163           0
         G50     343.731     1.45392     6472.11     148.457           0
         G51     379.842     1.49381     4707.64     131.011           0
         G52     538.614     1.66948     3825.53     113.035           0
         G53     325.876     1.33631     5299.01     158.356           0
         G54     376.921     1.36336     2779.23      82.506           0
         G55     231.658     3.16682     3090.98     109.458           0
         G56     391.482     3.13815     4782.12     149.231           0
         G57     601.766     2.84705     1405.96     61.3968           0
         G58     580.008     3.38487     2990.53     115.563           0
         G59     600.778     3.27612     6060.57     155.047           0
         G60     507.335     2.73661      5471.1     176.951           0
         G61     490.752     1.32837      4622.8     138.783           0
         G62      481.24     1.33166     7350.48     207.107           0
         G63     527.002     1.48402     5287.17      138.83           0
         G64      575.91     1.10535     6649.15     166.458           0
         G65     680.393     1.76977     7267.57     184.342           0
         G66     589.986     1.61577     7181.29      149.25           0
         G67     394.564     1.21081     4722.22     118.805           0
         G68     369.721     1.26151     4387.66     102.244           0
         G69     525.218     1.30479     7771.06     177.521           0
         G70     458.816     1.36402     6639.53     134.171           0
         G71     363.826     1.47422     4639.63      120.05           0
         G72     455.066     1.28204     4661.92     120.039           0
         G73     310.613     1.24241     6125.61     163.776           0
         G74     295.362     1.37469     6716.95     251.385           0
         G75     388.495     1.29986     4652.32     123.678           0
         G76     263.996     2.07632     6930.06     215.892           0
         G77     253.637     1.23884      8442.4     292.146           8
         G78     368.853     1.44024     4774.71     154.294           0
         G79     372.209     1.40974     4264.33     127.506           0
         G80     524.426     1.17322     4309.09      127.52           0
         G81     611.206     1.46723     3918.75     89.2713           0
         G82     500.303     1.29648     8085.95     169.726           0
