    REF_GAIN           0     1.09893    0.231181           3
          G1     623.108      1.7293     5583.34     143.719           0
          G2     663.751     1.58461     5055.97     145.704           0
          G3     678.767     1.77675     7643.37     184.399           0
          G4     590.549     1.52128     5873.05     148.452           0
          G5     537.836     1.30745     6065.23     178.364           0
          G6     508.445     1.50697     5377.58     152.117           0
          G7     536.556      1.6085     4304.16     128.683           0
          G8     543.501     1.55917     7844.51     174.564           0
          G9     643.215     1.49759      5668.2     122.854           0
         G10     598.684     1.61873     6280.14      133.04           0
         G11     451.937      1.6913     6595.27     146.827           0
         G12     511.504     1.76521     4766.34     131.974           0
         G13     607.549      1.7761      3688.6     120.543           0
         G14     435.086      1.6812     3431.92     96.7752           0
         G15     528.631     1.58474     6503.58     125.875           0
         G16     378.366     1.57302           0           0           2
         G17     310.552     1.80844     7059.86     208.882           0
         G18     381.046     1.49815     5881.93     218.008           0
         G19     561.543     1.83111     5357.14     148.868           0
         G20     443.355     1.80416     4826.13     148.216           0
         G21      471.05     1.70753     5648.74     125.776           0
         G22      531.19     1.77616     7434.87      162.45           0
         G23     391.785      1.7083        1185     56.2248           0
         G24     522.714     1.51707     5870.35     151.407           0
         G25     371.121     3.07821     5896.15     148.737           0
         G26     390.345     3.30309     7082.11     159.896           0
         G27     413.524     3.82416     3799.86     141.547           0
         G28     517.496     3.05072      3134.6     125.111           0
         G29     330.012     2.44229     6966.06     226.721           0
         G30     430.993     2.89296     6305.21     151.845           0
         G31     539.638     1.47522     3843.79     148.179           0
         G32     557.213     1.53223     5710.33     127.734           0
         G33     729.618     1.45488     3880.37     89.1956           0
         G34      644.96      1.6086     1534.37     66.3744           0
         G35     705.625      1.7585     5686.18     112.503           0
         G36     624.268     1.31752     3932.98      105.91           0
         G37     490.634     1.52677     4563.13     124.729           0
         G38     347.247     1.37911     4499.12     138.447           0
         G39     468.967     1.40067     5150.14     146.205           0
         G40     461.752     1.52802     7039.01     225.361           0
         G41     291.664     1.38969     6516.36      177.49           0
         G42     377.969     1.58112     4847.84     151.046           0
         G43     382.038     1.76686     5055.71      126.17           0
         G44     256.134     1.20811     1945.85     100.984           0
         G45     324.103     1.47594     3779.74     120.324           0
         G46     320.306     1.56588     5034.18     123.509           0
         G47     236.029     1.11365     4768.13     142.315           0
         G48     208.076     1.20127     8354.21      289.13           8
         G49     430.063     1.64986     3948.34     107.966           0
         G50     343.487     1.52377     6459.89      146.84           0
         G51     379.812       1.617     4695.41     128.586           0
         G52     538.572     1.63299     3820.28     113.864           0
         G53     325.872     1.33791     5282.32     155.485           0
         G54     376.849     1.34941     2774.26     82.9226           0
         G55     231.575     3.18998      3089.8     107.711           0
         G56     391.397     3.08883     4777.28     149.234           0
         G57     601.716     2.81491     1404.95     62.2529           0
         G58     579.906     3.40839     2980.76     115.713           0
         G59     600.716     3.29635     6046.92      156.24           0
         G60      507.22     2.72424      5460.6     176.198           0
         G61     490.771     1.30964     4621.82     137.901           0
         G62     481.254     1.31459     7314.52     203.785           0
         G63     527.047     1.47562     5276.55     139.644           0
         G64     575.898     1.13831      6627.6     166.898           0
         G65     680.357     1.81011     7243.93     186.767           0
         G66     590.006     1.61204      7159.2     144.656           0
         G67     394.572     1.22484     4712.56     121.004           0
         G68     369.762     1.28994     4375.21      101.23           0
         G69     525.203      1.3332     7753.13     173.682           0
         G70     458.946     1.35248     6614.78     132.668           0
         G71     363.736     1.46974     4627.06     119.058           0
         G72     454.807     1.30041     4649.95     120.635           0
         G73     310.586     1.24823     6108.32     164.813           0
         G74     295.346     1.36117     6707.11     249.828           0
         G75     388.551     1.29335     4645.07     122.297           0
         G76     262.799     1.73107     6918.58     210.595           0
         G77      253.59     1.24536     8240.95     234.842           8
         G78     368.863     1.44031     4766.04     154.973           0
         G79     372.266     1.52876     4255.28     129.327           0
         G80     524.388     1.21137     4299.48     124.904           0
         G81     610.691     1.46529     3911.22     90.5356           0
         G82     500.292     1.29099      8060.3       163.4           0
         G83     335.417      1.3826     5466.56     167.356           0
         G84     560.505     1.28553      7426.1     160.985           0
         G85     370.753     2.87945     4978.29     131.759           0
         G86     360.585     3.45622      4160.2     154.616           0
         G87     499.171     3.15084     3751.61     124.103           0
         G88     476.032     2.32231     5021.35      154.93           0
         G89     626.051     2.85836     5588.94     222.258           0
         G90     544.198     2.55997     4094.89     119.827           0
         G91     644.215     1.74611     5990.47     139.216           0
