    REF_GAIN           0     1.09979    0.231565           3
          G1     623.072     1.77229      5591.3     142.433           0
          G2     663.723     1.61207     5060.86     143.236           0
          G3     678.836      1.8163     7642.33     185.429           0
          G4     590.624     1.54467     5878.85     146.618           0
          G5     537.841     1.33539     6069.81     179.838           0
          G6     508.491     1.49955      5373.7     149.571           0
          G7     536.494     1.63281     4302.52     130.019           0
          G8     543.289     1.56756     7852.08     180.063           0
          G9     643.685     1.49523     5669.87     122.118           0
         G10      598.74     1.60348     6279.22     132.001           0
         G11     451.985     1.70461     6603.06     147.658           0
         G12     511.529     1.77057      4763.8     132.801           0
         G13     607.602     1.72909     3682.25     117.203           0
         G14     435.092     1.68082      3433.2     95.3571           0
         G15     528.627     1.56565     6506.33     128.673           0
         G16     378.432     1.54377           0           0           2
         G17     310.653     1.82641     7065.12     209.095           0
         G18     381.136     1.47652     5883.35      218.06           0
         G19     561.697     1.76441     5361.35     150.786           0
         G20     443.404     1.69969      4830.5     146.971           0
         G21     471.095     1.62761     5650.88     123.545           0
         G22     531.529     1.75651     7440.74     166.798           0
         G23     391.829     1.70049      1186.6     57.2182           0
         G24       522.8     1.51406     5871.42     147.989           0
         G25     371.345     3.03935     5899.55     149.859           0
         G26     390.499      3.2506     7087.09       156.7           0
         G27     413.684     3.81987     3802.96     142.269           0
         G28     517.661     3.07677     3137.97     124.444           0
         G29      330.04     2.40115     6972.43     230.995           0
         G30     431.053     2.92531     6313.95      152.94           0
         G31     539.716      1.4609     3840.11     144.823           0
         G32     557.272     1.52131     5715.49     127.976           0
         G33     729.684     1.47682     3876.36     88.6252           0
         G34     644.923     1.58117     1536.35     67.7579           0
         G35     705.592     1.79748     5694.09     115.084           0
         G36     624.266     1.32289     3939.93     106.877           0
         G37     490.731     1.51779     4562.03     127.637           0
         G38     347.158     1.42213     4497.78     141.078           0
         G39     468.817     1.36517     5148.26     149.049           0
         G40     462.011     1.52848     7033.43     226.942           0
         G41     291.587     1.42748     6512.85     174.346           0
         G42     377.939     1.58808     4850.43     148.798           0
         G43      382.11     1.72092     5057.77     126.643           0
         G44     256.251     1.17565     1946.53     103.253           0
         G45     324.034     1.45609      3783.9      120.71           0
         G46     320.393     1.54836     5039.47     123.074           0
         G47     236.039      1.1118     4765.29     139.187           0
         G48      208.04     1.19046     8472.09     320.261           8
         G49     430.149     1.57005     3947.18     107.957           0
         G50     343.633     1.43734     6462.18     147.238           0
