    REF_GAIN           0     1.09937    0.231671           3
          G1     623.112      1.7431     5746.83     152.132           0
          G2     663.685     1.61042     5382.11     162.043           0
          G3     678.753     1.80412     8044.16      195.02           0
          G4     590.622     1.53168     6156.11      162.53           0
          G5     537.855     1.34017     6358.87     197.663           0
          G6     508.531     1.51447     5634.69     163.103           0
          G7     536.513     1.60899     4411.26     139.321           0
          G8     543.428     1.55856     8400.19     189.568           8
          G9     643.682      1.4976     5969.36     135.135           0
         G10     598.666     1.60119     6527.95     142.934           0
         G11      451.92     1.66438     7002.84     162.495           0
         G12     511.478     1.75322     4963.74     141.915           0
         G13     607.623     1.77966     3791.36     127.543           0
         G14     435.163     1.66231     3498.42     102.272           0
         G15     528.698      1.5856     6975.68     143.609           0
         G16     378.421     1.54208           0           0           2
         G17       310.6      1.8104     7392.21     223.425           0
         G18     381.112     1.49241     6168.93     233.143           0
         G19      561.52     1.83616     5709.96     162.273           0
         G20     443.338     1.77056     4981.07     153.994           0
         G21     471.046     1.71175     5984.46     137.765           0
         G22      531.23     1.75673     8059.68     178.012           0
         G23       391.7     1.69337     1196.08     56.8483           0
         G24     522.787       1.516     6194.28     162.137           0
         G25     371.151     3.10505     6208.22      164.77           0
         G26     390.403      3.3278     7539.24     177.076           0
         G27     413.628     3.85016     3940.43     151.694           0
         G28     517.535     3.07683     3266.85     136.703           0
         G29     329.993     2.48805     7414.04     252.532           0
         G30     431.006     2.93805     6656.09     164.351           0
         G31     539.657     1.45934     3896.89     151.555           0
         G32     557.248     1.52231     5972.47     137.675           0
         G33      729.64     1.49182     4042.92     96.4103           0
         G34     644.932     1.62597     1541.78     66.7709           0
         G35     705.653     1.77033     5906.36     123.215           0
         G36     624.281     1.33412      4122.1     115.372           0
         G37     490.713     1.51073     4688.87     134.861           0
         G38     347.314     1.37547     4715.86     151.268           0
         G39     468.884     1.39552     5444.78     162.191           0
         G40     461.867     1.53482     7430.96      248.54           0
         G41     291.566     1.41277     6917.76     194.326           0
         G42     377.937      1.5744     5081.07     167.236           0
         G43     382.128     1.72983     5282.33      136.26           0
         G44     256.142     1.16432     1997.59      108.48           0
         G45     324.125     1.45418     3896.27     128.302           0
         G46     320.385     1.57138     5164.85     133.627           0
         G47     236.047     1.14243      5005.7     154.244           0
         G48     208.063     1.19249           0           0           2
         G49     430.103     1.61529     4079.04     114.063           0
         G50     343.471     1.49593     6706.43     154.721           0
         G51     379.653     1.58636      4891.7      140.14           0
         G52     538.565     1.63238     3928.06     123.424           0
         G53     325.752     1.32535     5636.22     178.378           0
         G54     376.765     1.36422      2834.9     86.0854           0
         G55      231.73     3.16882      3172.4     112.283           0
         G56     391.442     3.15275     4889.32     158.295           0
         G57     601.684     2.84303     1419.68     61.5769           0
         G58      579.93      3.4072     3145.67     126.967           0
         G59     600.657     3.27304     6344.57     169.709           0
         G60     507.275     2.69174     5703.59     191.133           0
         G61      490.72     1.31881     4788.73     148.465           0
         G62     481.209       1.334     7821.67     227.577           0
         G63     527.056     1.50625     5470.23     148.715           0
         G64     575.927     1.13848     6990.72     177.515           0
         G65     680.425     1.80631     7695.24     203.636           0
         G66     590.052     1.61162     7617.95     166.046           0
         G67      394.55     1.21078     4908.17     129.806           0
         G68     369.711     1.29618     4616.22     108.561           0
         G69     525.185     1.30305     8161.72     184.217           0
         G70     458.782     1.37027     7036.41     147.443           0
         G71     363.822     1.47304     4800.64     129.769           0
         G72      454.73     1.28442     4832.97     132.739           0
         G73     310.691     1.25403     6424.41     178.639           0
         G74     295.417     1.34187      7013.1     269.442           0
         G75     388.656     1.28706     4762.82         129           0
         G76     263.555     1.97744     7508.45     238.549           0
         G77     253.647     1.23946           0           0           2
         G78     368.938     1.43856     5041.76     165.743           0
         G79     372.181     1.54031     4375.47     136.491           0
         G80     524.898     1.27896     4436.05     131.154           0
         G81     610.686     1.49603        4036      96.841           0
         G82     500.249     1.30467           0           0           2
         G83     335.365     1.43116     5741.28     178.013           0
         G84     560.474     1.26691     7783.65     180.563           0
         G85     370.756     2.86137     5203.22     141.179           0
         G86     360.595     3.45218     4394.93     167.909           0
         G87     499.169     3.15137     3869.85      130.94           0
         G88     476.083     2.34783     5251.66     164.875           0
         G89     625.947     2.80504     5869.75     245.203           0
         G90     544.226     2.52623     4206.72     126.579           0
         G91     644.237      1.7745     6254.69     151.544           0
         G92     640.792     1.58489     5332.83     165.953           0
         G93      566.27     1.83225     4232.59     140.968           0
         G94     602.627     1.49294     3959.45     124.768           0
         G95     602.129     1.55773     5948.57     149.351           0
         G96     644.284      1.5201     5015.09     108.746           0
         G97     544.178     1.24579     6640.41     185.384           0
         G98     431.852     1.15084      6847.3     191.027           0
         G99     646.256     1.27669     6695.02     213.199           0
        G100     495.041     1.69317     4558.02     141.626           0
        G101     649.044     1.81883     7434.96     149.477           0
        G102     441.084     1.27109     6191.39     141.379           0
        G103     498.826      1.5749     6729.89     185.277           0
        G104     377.008     1.31133     4206.04     146.446           0
        G105     533.965     1.51816     6558.21     165.183           0
        G106     445.529     1.55897     5150.92     156.763           0
        G107     365.289     1.13199           0           0           2
        G108      393.34     1.34278     4034.08     125.149           0
        G109     517.645      1.7165      7127.4     188.599           0
        G110     599.555     1.52422     7178.91     209.335           0
        G111     390.584     1.27055     4221.55     139.804           0
        G112     582.041     1.60421     3709.93     104.777           0
        G113     523.874     1.22855     5122.03     150.837           0
        G114     511.039      1.4173     6141.18     165.785           0
        G115     530.324     2.49576     4283.72     130.454           0
        G116     518.778     3.02552     4468.81     131.207           0
        G117     367.687     3.45947     4514.83     114.769           0
        G118     450.231      2.8562     3364.84     98.6893           0
        G119     512.627     2.88964     2977.35     99.5715           0
        G120     368.276     2.31721     4848.99      117.91           0
        G121     626.707     2.00793     5202.55     118.161           0
        G122      671.78     1.80921     3137.18      86.935           0
        G123     639.236     1.84533     4681.85     109.694           0
        G124     663.372     1.75396     3650.37     98.8919           0
        G125     538.986     1.70935     3516.08     94.1047           0
        G126     583.592     1.35878     6033.01     169.207           0
        G127      413.05     1.26865     4444.03     102.041           0
        G128     309.054     1.26303     4286.53     112.209           0
        G129     462.849      1.1308     3272.41     87.3189           0
        G130     245.063     1.34802     4652.31     121.819           0
        G131     396.561     1.65316     5865.59     121.526           0
        G132     444.199     1.25209     5668.99     148.958           0
        G133     469.236     1.22188     3629.24     105.823           0
        G134     266.813     1.42661     3069.68     106.513           0
        G135      495.27     1.09348     4078.94     111.109           0
        G136     257.052     1.18975     4953.99     131.238           0
        G137     246.944      1.3473     4169.07      121.19           0
        G138     314.347     1.13699     6690.08     163.354           0
        G139     318.386     1.40248     3616.78     117.962           0
        G140     363.278     1.57049     4163.55       106.5           0
        G141     371.266     1.19912     5024.64     151.226           0
        G142     291.154     1.17786     6036.58     169.581           0
        G143     271.443     1.53025     5643.17     146.842           0
        G144     473.095     1.16315     3786.78     103.267           0
        G145     459.419     3.41986     5085.47     145.927           0
        G146     619.263     3.05227     7864.18      233.06           0
        G147     591.159     3.52481     4579.56     152.173           0
        G148     365.734     3.05282     4546.64     148.134           0
        G149     439.087      3.1029     6631.32     170.027           0
        G150     323.448     2.41058     5188.76     137.786           0
        G151     616.699     1.68773     6523.93     182.033           0
        G152     609.536     1.53383     3299.36     95.7889           0
        G153     442.445     1.99539     3519.14     125.313           0
        G154      322.68     1.81891     6477.53     167.749           0
        G155     271.093     1.79584     5758.41     159.442           0
        G156     544.551     1.69711     3319.03     94.8672           0
        G157      408.48     1.13525     6603.01     168.784           0
        G158     507.151     1.33998     6180.65     160.463           0
        G159     448.211     1.50564     4393.45     117.622           0
        G160     697.195     1.40422     4753.39     125.435           0
        G161     458.928     2.30259     5220.58     147.519           0
        G162     433.623     1.98345     3308.42     114.957           0
        G163     382.963     1.18159     4499.53     119.109           0
        G164     408.407     1.90828     3699.98     104.637           0
        G165      449.88     1.73549     4605.07     140.837           0
        G166     266.993     1.20561     4696.95     129.169           0
        G167     337.195     1.46054      5588.9     156.367           0
        G168     361.468       1.547     5208.93      139.04           0
        G169      336.75     1.26963     5406.73     131.217           0
        G170     514.346     1.91176     3026.99      93.563           0
        G171     524.986     1.79126      4947.6     124.109           0
        G172     342.098      1.3248     4998.82     134.811           0
        G173     477.358     1.60669        4417     130.293           0
        G174     604.263     1.64889     4715.72     139.811           0
        G175     352.092     3.53701     4891.95     133.523           0
        G176     297.851     2.69289     4206.95     127.626           0
        G177     558.071     3.27979     3443.19     159.473           0
        G178       442.3     3.05967     6101.41     157.248           0
        G179     442.593     3.42423     4016.63     141.338           0
