    REF_GAIN           0     1.09992    0.231169           3
          G1     623.092     1.75255     5734.77     151.535           0
          G2     663.793     1.60913     5503.89     164.071           0
          G3      678.92     1.80209     8190.38     201.501           8
          G4     590.642     1.53898     6161.38     168.108           0
          G5     537.861     1.33818     6410.18     198.762           0
          G6     508.546     1.54863     5667.61     166.352           0
          G7     536.633     1.60458     4415.49     141.625           0
          G8     543.632     1.55876     8340.91     153.024           8
          G9     643.266     1.47963     5876.73     130.848           0
         G10     598.726     1.61233     6535.01     139.725           0
         G11     452.049     1.67098      7026.2     163.365           0
         G12     511.517     1.79262     4949.94     146.079           0
         G13     607.662     1.75446     3733.73      126.12           0
         G14     435.165     1.65531     3496.78     102.287           0
         G15     528.702     1.57795     6928.54     143.627           0
         G16     378.459      1.4989           0           0           2
         G17     310.637     1.76032     7469.16     229.248           0
         G18     381.169     1.42797     6200.35     235.386           0
         G19      561.71     1.85808     5813.77     164.028           0
         G20     443.495     1.84363        5003     158.642           0
         G21     471.142     1.74052     5939.37      137.73           0
         G22      531.24     1.75914     8184.78     162.656           0
         G23     391.774     1.66771     1194.44     57.1127           0
         G24     522.729     1.49937     6182.45     162.131           0
         G25     371.291     3.07781     6176.67     163.275           0
         G26     390.469     3.29421     7649.91     176.141           0
         G27     413.663      3.8546     3969.68     153.766           0
         G28     517.632     3.04921     3302.05      139.54           0
         G29     329.836     2.47797     7438.08     254.205           0
         G30     430.997      2.9367      6664.9     167.227           0
         G31     539.711     1.47203     3891.29     152.297           0
         G32       557.3      1.5232     5994.27     140.345           0
         G33     729.694      1.4762     3988.32     95.2421           0
         G34     644.968     1.61363     1539.22     67.3366           0
         G35     705.705     1.78564     5900.87     123.883           0
         G36      624.32     1.36551     4038.59     114.776           0
         G37     490.922     1.50748     4715.35     136.954           0
         G38     347.245     1.37452     4767.23     154.898           0
         G39      468.96     1.39193     5519.04     164.649           0
         G40     461.927     1.50414     7546.29     251.302           0
         G41     291.583     1.42813     7029.24     193.047           0
         G42     377.898     1.58434     5121.82     169.031           0
         G43     382.182     1.73507     5312.92     140.411           0
         G44     256.187     1.15727     2011.18     110.677           0
         G45     324.113      1.4495     3875.18     126.312           0
         G46     320.422      1.4975     5172.85      130.31           0
         G47     236.049      1.0646     5029.16     151.876           0
         G48     208.075     1.20737           0           0           2
         G49     430.127     1.66393     4091.23     116.698           0
         G50      343.73     1.58476     6754.06     160.559           0
         G51     379.779     1.64214     4922.57     141.996           0
         G52      538.56     1.63584     3936.34     123.633           0
         G53     325.764     1.34408     5745.18     180.567           0
         G54      376.79     1.34152      2825.6     85.7918           0
         G55     231.638     3.18581        3158     112.169           0
         G56     391.431      3.0973     4915.85     159.924           0
         G57     602.127      2.8635     1414.41     60.9404           0
         G58     580.046     3.40371     3178.77     131.831           0
         G59     600.832     3.30212     6350.36     168.675           0
         G60     507.352     2.70153     5733.14      189.14           0
         G61     490.777     1.33815     4809.21      148.75           0
         G62     481.237     1.33879     8024.47     226.973           0
         G63      527.05      1.4915     5434.93     147.769           0
         G64     575.958     1.12145      7057.2     179.307           0
         G65      680.41     1.82323     7734.53      197.91           0
         G66     589.968     1.63794     7710.37     169.119           0
         G67     394.534     1.20336     4897.39     130.996           0
         G68     369.759     1.26993     4572.89     112.156           0
         G69     525.259      1.3124     8150.57     168.355           0
         G70     458.822     1.37252      7077.7     146.944           0
         G71     363.848     1.48001     4824.07     134.161           0
         G72     454.851     1.33296     4875.98     132.589           0
         G73     310.652     1.20013     6469.22     178.825           0
         G74     295.347     1.32936     7025.13     271.674           0
         G75     388.699     1.27658     4757.75     130.498           0
         G76     262.964     1.70833     7683.64     245.608           0
         G77      253.64      1.2031           0           0           2
         G78      368.99     1.42269     5006.86     167.121           0
         G79     372.141     1.60125     4378.02     137.859           0
         G80     524.368     1.27181      4429.1     134.888           0
         G81     611.148     1.54152     4067.03     98.1533           0
         G82       500.2       1.313           0           0           2
         G83     335.371     1.39589     5732.02     181.117           0
         G84     560.515     1.26215     7849.78     175.831           0
         G85      370.79     2.89631     5204.34      144.34           0
         G86     360.683     3.41975     4379.39     172.243           0
         G87       499.2     3.16026     3844.25     128.659           0
         G88     476.118     2.34987     5276.33     167.301           0
         G89     626.071     2.84638     5929.66     241.025           0
         G90     544.338     2.55192      4208.9     129.539           0
         G91      644.31     1.77106     6333.48      152.89           0
         G92     640.822     1.59274     5375.73     166.427           0
         G93     566.389     1.81544     4230.73     134.705           0
         G94     602.691     1.52638     3942.38     125.976           0
         G95     602.163     1.58334     6053.22     148.707           0
         G96     644.308     1.51743     4979.97     110.619           0
         G97     544.335     1.24444     6719.74     190.734           0
         G98     431.788      1.1544     6925.84       194.5           0
         G99     646.351     1.29488      6738.5     213.165           0
        G100     495.111     1.67092     4560.37     143.511           0
        G101     649.174     1.83031     7500.81     150.961           0
        G102     441.174     1.25864     6198.04     143.707           0
        G103     498.824     1.57185     6760.09     185.806           0
        G104     376.987      1.3006     4217.08     146.228           0
        G105     533.963     1.48517     6622.51     163.863           0
        G106     445.656     1.51468      5135.3     156.004           0
        G107     365.318     1.11492           0           0           2
        G108     393.403     1.32815      4040.9     127.245           0
        G109     517.872      1.7735     7165.27     190.583           0
        G110     599.707     1.57088     7281.32      214.09           0
        G111     390.568     1.32274     4238.93     146.508           0
        G112     582.172       1.572      3684.6     103.663           0
        G113     523.844     1.19981      5130.7     152.758           0
        G114     511.004     1.39414     6174.49     170.929           0
        G115     530.361     2.55338     4269.93     131.822           0
        G116     518.989     3.10108     4492.76       131.5           0
        G117     367.807      3.5287     4496.52     112.822           0
        G118     450.345     2.89344     3326.21      96.564           0
        G119     512.696     2.91534     2968.41     99.9583           0
        G120     368.297     2.35468     4833.03     120.554           0
        G121     626.702      2.0304     5262.45     112.814           0
        G122     671.784     1.83746     3119.47     86.2078           0
        G123     639.244     1.85912     4697.29     114.683           0
        G124     663.452     1.75884     3641.14     97.9825           0
        G125     538.947     1.74131     3507.98     97.1265           0
        G126     583.607     1.40404     6061.58     170.008           0
        G127     413.044     1.25406        4428     103.059           0
        G128     309.162     1.27395     4307.64     113.329           0
        G129     462.981     1.13848     3248.94     86.8221           0
